name_with_owner,stargazers,created_at,releases_count,n_classes,cbo_mean,dit_mean,lcom_mean,loc,comment_lines
alibaba/Sentinel,23102,2018-04-04T06:37:33Z,26,1519,4.450954575378539,1.174456879526004,12.412771560236997,55632.0,
alibaba/Tangram-Android,4103,2017-03-29T13:29:57Z,38,574,5.2595818815331015,1.6777003484320558,23.21080139372822,24338.0,
alibaba/UltraViewPager,4964,2017-03-29T13:31:53Z,10,24,5.208333333333333,1.375,58.375,1518.0,
alibaba/arthas,37225,2018-08-29T17:15:57Z,69,1343,4.667163067758749,1.3633655994043188,30.198808637379003,65589.0,
alibaba/atlas,8164,2017-02-28T06:31:43Z,7,2194,5.814949863263446,1.438468550592525,29.88422971741112,157514.0,
alibaba/canal,29652,2013-01-13T10:59:52Z,32,1054,5.811195445920304,1.3795066413662238,77.03415559772296,112746.0,
alibaba/dexposed,4516,2015-06-30T02:59:16Z,0,36,2.9166666666666665,1.6944444444444444,82.83333333333333,2414.0,
alibaba/druid,28209,2011-11-03T05:12:51Z,52,5969,5.254146423186463,1.6527056458368237,229.35449824091137,349873.0,
alibaba/easyexcel,33757,2018-02-06T03:14:08Z,14,560,6.569642857142857,1.375,32.025,20545.0,
alibaba/fastjson,25692,2011-11-03T06:58:52Z,84,6327,1.8530109056424846,1.504188398925241,126.12122648964754,206496.0,
alibaba/fastjson2,4286,2022-04-17T04:27:24Z,61,9826,2.8120293099938936,1.1936698554854468,276.2819051496031,424301.0,
alibaba/freeline,5458,2016-08-03T17:22:52Z,22,135,3.762962962962963,1.6074074074074074,13.866666666666667,5357.0,
alibaba/jetcache,5572,2017-04-12T07:48:23Z,67,446,6.033632286995516,1.6367713004484306,15.908071748878923,18021.0,
alibaba/jstorm,3886,2013-09-03T03:53:16Z,22,3956,5.549797775530839,1.5525783619817999,42.367290192113245,296225.0,
alibaba/jvm-sandbox,6957,2017-08-03T02:55:31Z,13,435,3.4827586206896552,1.3264367816091953,12.360919540229885,14407.0,
alibaba/nacos,32811,2018-06-15T06:49:27Z,93,5085,5.370698131760078,1.2737463126843658,22.010619469026548,241748.0,
alibaba/otter,8131,2013-08-09T09:31:22Z,10,1296,4.556327160493828,1.373456790123457,32.454475308641975,68163.0,
alibaba/spring-ai-alibaba,9143,2024-09-09T01:35:50Z,18,2411,6.303193695562007,1.2094566569888012,13.659892160929076,115898.0,
alibaba/spring-cloud-alibaba,29089,2017-12-01T20:49:15Z,51,594,5.936026936026936,1.1094276094276094,29.934343434343436,19469.0,
