owner,name,repo_full,url,stars,contributors,commits_5_anos,default_branch,faixa_stars,faixa_contributors,faixa_commits
oraios,serena,oraios/serena,https://github.com/oraios/serena,24543,181,2898,main,3. 10k–25k,3. 51–200,3. 1k–5k
huggingface,lerobot,huggingface/lerobot,https://github.com/huggingface/lerobot,24269,217,1469,main,3. 10k–25k,4. 201–1000,3. 1k–5k
harvard-edge,cs249r_book,harvard-edge/cs249r_book,https://github.com/harvard-edge/cs249r_book,24245,112,15677,dev,3. 10k–25k,3. 51–200,4. 5k–20k
HKUDS,DeepTutor,HKUDS/DeepTutor,https://github.com/HKUDS/DeepTutor,24235,66,750,main,3. 10k–25k,3. 51–200,2. 500–999
plotly,dash,plotly/dash,https://github.com/plotly/dash,24209,212,4433,dev,3. 10k–25k,4. 201–1000,3. 1k–5k
pytorch,examples,pytorch/examples,https://github.com/pytorch/examples,23903,285,287,main,3. 10k–25k,4. 201–1000,1. 100–499
Guovin,iptv-api,Guovin/iptv-api,https://github.com/Guovin/iptv-api,23889,6,2096,master,3. 10k–25k,1. 5–10,3. 1k–5k
Delgan,loguru,Delgan/loguru,https://github.com/Delgan/loguru,23886,76,470,master,3. 10k–25k,3. 51–200,1. 100–499
Dao-AILab,flash-attention,Dao-AILab/flash-attention,https://github.com/Dao-AILab/flash-attention,23877,181,1489,main,3. 10k–25k,3. 51–200,3. 1k–5k
ranaroussi,yfinance,ranaroussi/yfinance,https://github.com/ranaroussi/yfinance,23787,167,1505,main,3. 10k–25k,3. 51–200,3. 1k–5k
pyg-team,pytorch_geometric,pyg-team/pytorch_geometric,https://github.com/pyg-team/pytorch_geometric,23781,566,3402,master,3. 10k–25k,4. 201–1000,3. 1k–5k
sinaptik-ai,pandas-ai,sinaptik-ai/pandas-ai,https://github.com/sinaptik-ai/pandas-ai,23549,112,1416,main,3. 10k–25k,3. 51–200,3. 1k–5k
vanna-ai,vanna,vanna-ai/vanna,https://github.com/vanna-ai/vanna,23494,88,972,main,3. 10k–25k,3. 51–200,2. 500–999
deepseek-ai,DeepSeek-Coder,deepseek-ai/DeepSeek-Coder,https://github.com/deepseek-ai/DeepSeek-Coder,23429,17,109,main,3. 10k–25k,2. 11–50,1. 100–499
