repo_full,n_commits,n_bic,taxa_bic_pct,pct_pequeno,pct_medio,pct_grande
TheAlgorithms/Python,137,4,2.92,62.04,36.5,1.46
VectifyAI/PageIndex,374,56,14.97,64.71,28.34,6.95
WZMIAOMIAO/deep-learning-for-image-processing,708,56,7.91,69.63,25.14,5.23
XX-net/XX-Net,360,60,16.67,61.67,23.61,14.72
XiaoMi/ha_xiaomi_home,253,39,15.42,56.92,36.76,6.32
Z4nzu/hackingtool,159,26,16.35,70.44,24.53,5.03
Zeyi-Lin/HivisionIDPhotos,410,46,11.22,61.22,31.95,6.83
ZhuLinsen/daily_stock_analysis,1866,106,5.68,31.99,45.82,22.19
Zie619/n8n-workflows,114,8,7.02,31.58,57.89,10.53
Zulko/moviepy,558,100,17.92,57.71,33.15,9.14
agent0ai/agent-zero,1882,96,5.1,37.14,39.05,23.8
agentscope-ai/QwenPaw,1441,61,4.23,31.09,39.83,29.08
agentscope-ai/agentscope,874,71,8.12,33.3,24.71,41.99
agno-agi/agno,11052,207,1.87,42.61,37.79,19.6
ahujasid/blender-mcp,116,22,18.97,68.1,29.31,2.59
aio-libs/aiohttp,5877,88,1.5,64.18,30.99,4.83
airbytehq/airbyte,80072,66,0.08,60.1,27.82,12.08
akfamily/akshare,677,37,5.47,76.51,19.05,4.43
albumentations-team/albumentations,715,268,37.48,34.55,43.78,21.68
allenai/olmocr,2207,171,7.75,52.02,44.04,3.94
ansible/ansible,526,22,4.18,44.68,42.59,12.74
ansible/awx,5348,73,1.36,58.25,31.92,9.84
anthropics/claude-plugins-official,791,4,0.51,67.89,26.68,5.44
apache/airflow,39863,162,0.41,42.11,41.53,16.36
apple/ml-stable-diffusion,116,8,6.9,66.38,24.14,9.48
arc53/DocsGPT,3329,85,2.55,55.39,35.99,8.62
assafelovic/gpt-researcher,4618,135,2.92,64.88,27.11,8.01
astral-sh/ty,547,2,0.37,63.44,25.78,10.79
aws/aws-cli,7123,109,1.53,29.26,48.67,22.07
babysor/MockingBird,225,30,13.33,62.67,24.44,12.89
beetbox/beets,4003,151,3.77,63.0,33.9,3.1
binary-husky/gpt_academic,2166,167,7.71,64.54,29.73,5.72
bloomberg/memray,1310,56,4.27,52.29,40.76,6.95
browser-use/browser-use,6900,102,1.48,52.96,36.26,10.78
browser-use/web-ui,377,99,26.26,49.6,40.58,9.81
budtmo/docker-android,202,1,0.5,91.09,7.92,0.99
bytedance/deer-flow,1783,82,4.6,39.32,41.73,18.96
camel-ai/camel,5212,215,4.13,31.95,50.84,17.21
camel-ai/owl,494,57,11.54,56.28,37.65,6.07
caronc/apprise,722,95,13.16,32.55,51.94,15.51
celery/celery,1847,54,2.92,72.01,24.36,3.63
certbot/certbot,2604,52,2.0,58.6,34.49,6.91
cft0808/edict,157,60,38.22,24.84,50.96,24.2
chatchat-space/Langchain-Chatchat,2123,160,7.54,57.65,30.81,11.54
chidiwilliams/buzz,1388,160,11.53,37.82,50.72,11.46
comet-ml/opik,10619,55,0.52,34.49,43.55,21.95
commaai/openpilot,2058,146,7.09,60.98,33.24,5.78
confident-ai/deepeval,8795,236,2.68,56.66,34.95,8.39
cookiecutter/cookiecutter,419,39,9.31,69.93,24.34,5.73
crewAIInc/crewAI,923,142,15.38,21.89,53.52,24.59
cvat-ai/cvat,5701,85,1.49,43.47,38.5,18.03
dagster-io/dagster,35805,218,0.61,37.22,43.15,19.63
danielgatis/rembg,398,66,16.58,72.11,23.87,4.02
datalab-to/marker,1135,196,17.27,49.87,37.36,12.78
datalab-to/surya,886,212,23.93,45.37,41.31,13.32
datawhalechina/hello-agents,562,13,2.31,59.43,25.27,15.3
deepfakes/faceswap,639,108,16.9,51.96,28.79,19.25
deepinsight/insightface,849,59,6.95,69.61,21.55,8.83
deepseek-ai/DeepSeek-Coder,85,3,3.53,88.24,9.41,2.35
deepspeedai/DeepSpeed,6633,110,1.66,63.58,29.75,6.68
dgtlmoon/changedetection.io,4747,165,3.48,63.22,28.63,8.15
django/django,997,85,8.53,54.56,38.31,7.12
docling-project/docling,510,90,17.65,37.25,41.57,21.18
dortania/OpenCore-Legacy-Patcher,4861,257,5.29,47.52,43.02,9.46
emcie-co/parlant,5848,292,4.99,47.67,42.56,9.76
encode/django-rest-framework,747,17,2.28,64.93,28.51,6.56
encode/httpx,674,42,6.23,71.51,22.7,5.79
eosphoros-ai/DB-GPT,2963,135,4.56,44.01,31.49,24.5
exaloop/codon,945,6,0.63,41.69,39.05,19.26
exo-explore/exo,3693,39,1.06,49.04,37.02,13.95
explosion/spaCy,3033,50,1.65,63.17,31.22,5.61
fabric/fabric,171,7,4.09,76.02,22.22,1.75
facebook/prophet,234,19,8.12,67.95,24.79,7.26
facebookresearch/detectron2,680,57,8.38,56.76,36.47,6.76
facebookresearch/fairseq,1014,82,8.09,50.0,37.57,12.43
faif/python-patterns,103,14,13.59,69.9,24.27,5.83
fail2ban/fail2ban,659,17,2.58,79.21,19.12,1.67
fastapi/fastapi,1340,24,1.79,74.1,19.48,6.42
fastapi/sqlmodel,1294,26,2.01,82.23,13.37,4.4
fastapi/typer,1394,31,2.22,83.21,12.84,3.95
fishaudio/fish-speech,741,141,19.03,48.58,35.09,16.33
flet-dev/flet,1457,213,14.62,38.09,32.19,29.72
fortra/impacket,741,55,7.42,63.02,32.52,4.45
frappe/erpnext,33533,95,0.28,64.48,32.08,3.44
freqtrade/freqtrade,17326,139,0.8,72.88,24.71,2.41
geekcomputers/Python,1508,291,19.3,76.19,21.35,2.45
getredash/redash,834,20,2.4,61.27,32.25,6.47
getsentry/sentry,124489,147,0.12,41.42,45.29,13.28
getzep/graphiti,1004,132,13.15,55.08,31.37,13.55
github/spec-kit,893,40,4.48,51.62,39.08,9.29
goauthentik/authentik,22496,78,0.35,55.8,35.69,8.51
google-deepmind/alphafold,208,4,1.92,71.15,24.04,4.81
google-research/timesfm,255,27,10.59,54.51,38.04,7.45
google/adk-python,3359,155,4.61,33.85,53.74,12.41
google/langextract,338,48,14.2,38.76,50.3,10.95
google/magika,1377,48,3.49,66.23,29.77,3.99
gradio-app/gradio,9604,175,1.82,49.82,34.53,15.65
graphdeco-inria/gaussian-splatting,252,21,8.33,82.54,14.68,2.78
hacksider/Deep-Live-Cam,167,25,14.97,61.08,33.53,5.39
hankcs/HanLP,484,75,15.5,71.69,24.38,3.93
harry0703/MoneyPrinterTurbo,120,12,10.0,44.17,45.0,10.83
hiroi-sora/Umi-OCR,1586,100,6.31,49.68,46.28,4.04
hiyouga/LlamaFactory,387,73,18.86,45.74,40.31,13.95
home-assistant/core,15276,45,0.29,51.61,36.43,11.96
hpcaitech/ColossalAI,4284,15,0.35,40.83,40.62,18.56
hpcaitech/Open-Sora,1148,136,11.85,55.49,33.89,10.63
hsliuping/TradingAgents-CN,1795,114,6.35,24.46,56.16,19.39
huggingface/datasets,3639,97,2.67,55.65,35.59,8.77
huggingface/diffusers,12233,140,1.14,50.84,37.82,11.35
huggingface/lerobot,5006,159,3.18,41.73,44.97,13.3
huggingface/open-r1,557,81,14.54,53.5,37.7,8.8
huggingface/peft,1679,113,6.73,49.97,37.22,12.81
huggingface/pytorch-image-models,2699,230,8.52,55.61,36.72,7.67
huggingface/sentence-transformers,2055,139,6.76,58.35,32.94,8.71
huggingface/smolagents,1766,147,8.32,56.85,36.86,6.29
huggingface/transformers,3850,140,3.64,43.77,38.29,17.95
huggingface/trl,3799,161,4.24,53.12,37.8,9.08
hugohe3/ppt-master,685,67,9.78,26.72,50.8,22.48
hummingbot/hummingbot,12740,211,1.66,55.09,36.62,8.28
index-tts/index-tts,186,37,19.89,63.98,31.18,4.84
infiniflow/ragflow,3062,92,3.0,39.94,38.54,21.52
ipython/ipython,2773,77,2.78,69.71,28.45,1.84
