repositorio,api,repeticao,tempo_ms,tamanho_bytes
DigitalPlatDev/FreeDomain,REST,1,314.044,6866
DigitalPlatDev/FreeDomain,GraphQL,1,427.436,762
DigitalPlatDev/FreeDomain,GraphQL,2,700.101,762
DigitalPlatDev/FreeDomain,REST,2,352.063,6866
DigitalPlatDev/FreeDomain,REST,3,345.078,6866
DigitalPlatDev/FreeDomain,GraphQL,3,465.984,762
DigitalPlatDev/FreeDomain,GraphQL,4,460.698,762
DigitalPlatDev/FreeDomain,REST,4,332.973,6866
DigitalPlatDev/FreeDomain,REST,5,380.837,6866
DigitalPlatDev/FreeDomain,GraphQL,5,465.762,762
anomalyco/opencode,REST,1,327.794,6339
anomalyco/opencode,GraphQL,1,344.541,516
anomalyco/opencode,GraphQL,2,365.459,516
anomalyco/opencode,REST,2,491.239,6339
anomalyco/opencode,REST,3,349.639,6339
anomalyco/opencode,GraphQL,3,361.492,516
anomalyco/opencode,GraphQL,4,358.025,516
anomalyco/opencode,REST,4,358.254,6339
anomalyco/opencode,REST,5,563.101,6339
anomalyco/opencode,GraphQL,5,325.561,516
flutter/flutter,REST,1,384.975,6655
flutter/flutter,GraphQL,1,514.24,1159
flutter/flutter,GraphQL,2,624.403,1159
flutter/flutter,REST,2,356.669,6655
flutter/flutter,REST,3,462.652,6655
flutter/flutter,GraphQL,3,475.315,1159
flutter/flutter,GraphQL,4,501.649,1159
flutter/flutter,REST,4,414.665,6655
flutter/flutter,REST,5,447.355,6655
flutter/flutter,GraphQL,5,732.184,1159
avelino/awesome-go,REST,1,357.369,5400
avelino/awesome-go,GraphQL,1,358.123,729
avelino/awesome-go,GraphQL,2,412.45,729
avelino/awesome-go,REST,2,279.619,5400
avelino/awesome-go,REST,3,276.772,5400
avelino/awesome-go,GraphQL,3,475.482,729
avelino/awesome-go,GraphQL,4,451.888,729
avelino/awesome-go,REST,4,359.733,5400
avelino/awesome-go,REST,5,288.611,5400
avelino/awesome-go,GraphQL,5,369.441,729
ollama/ollama,REST,1,412.487,6201
ollama/ollama,GraphQL,1,464.806,982
ollama/ollama,GraphQL,2,511.18,982
ollama/ollama,REST,2,437.8,6201
ollama/ollama,REST,3,365.287,6201
ollama/ollama,GraphQL,3,559.983,982
ollama/ollama,GraphQL,4,561.192,982
ollama/ollama,REST,4,362.645,6201
ollama/ollama,REST,5,455.717,6201
ollama/ollama,GraphQL,5,434.452,982
github/gitignore,REST,1,414.209,6462
github/gitignore,GraphQL,1,360.99,548
github/gitignore,GraphQL,2,459.986,548
github/gitignore,REST,2,460.578,6462
github/gitignore,REST,3,461.911,6462
github/gitignore,GraphQL,3,468.719,548
github/gitignore,GraphQL,4,452.423,548
github/gitignore,REST,4,395.666,6462
github/gitignore,REST,5,426.984,6462
github/gitignore,GraphQL,5,457.856,548
twbs/bootstrap,REST,1,432.576,6205
twbs/bootstrap,GraphQL,1,460.914,795
twbs/bootstrap,GraphQL,2,423.517,795
twbs/bootstrap,REST,2,371.872,6205
twbs/bootstrap,REST,3,381.786,6205
twbs/bootstrap,GraphQL,3,559.766,795
twbs/bootstrap,GraphQL,4,465.802,795
twbs/bootstrap,REST,4,348.085,6205
twbs/bootstrap,REST,5,370.396,6205
twbs/bootstrap,GraphQL,5,461.715,795
yt-dlp/yt-dlp,REST,1,565.7,6203
yt-dlp/yt-dlp,GraphQL,1,456.878,764
